name,team,span,mat,inns,no,runs,hs,ave,100,50,0
JM Blackham,AUS,1877-1894,35,62,11,800,74,15.68,0,4,6
DD Blackie,AUS,1928-1929,3,6,3,24,11*,8.00,0,0,2
ID Blackwell,ENG,2006-2006,1,1,0,4,4,4.00,0,0,0
J Blackwood,WI,2014-2023,54,98,5,2839,112*,30.52,3,18,7
TE Blain,NZ,1986-1994,11,20,3,456,78,26.82,0,2,2
RW Blair,NZ,1953-1964,19,34,6,189,64*,6.75,0,1,12
RJ Blakey,ENG,1993-1993,2,4,0,7,6,1.75,0,0,2
JM Blanckenberg,SA,1913-1924,18,30,7,455,59,19.78,0,2,2
KC Bland,SA,1961-1966,21,39,5,1669,144*,49.08,3,9,2
GS Blewett,AUS,1995-2000,46,79,4,2552,214,34.02,4,15,6
Hon.IFW Bligh,ENG,1882-1883,4,7,1,62,19,10.33,0,0,2
AM Blignaut,ZIM,2001-2005,19,36,3,886,92,26.84,0,6,6
TA Blundell,NZ,2017-2023,26,43,5,1658,138,43.63,4,10,2
RC Blunt,NZ,1930-1932,9,13,1,330,96,27.50,0,1,1
C Blythe,ENG,1901-1910,19,31,12,183,27,9.63,0,0,4
JH Board,ENG,1899-1906,6,12,2,108,29,10.80,0,0,3
EG Bock,SA,1935-1935,1,2,2,11,9*,-,0,0,0
N Boje,SA,2000-2006,43,62,10,1312,85,25.23,0,4,5
SM Boland,AUS,2021-2023,7,6,1,26,10*,5.20,0,0,1
DE Bollinger,AUS,2009-2010,12,14,7,54,21,7.71,0,0,3
BA Bolton,NZ,1959-1959,2,3,0,59,33,19.66,0,0,1
JB Bolus,ENG,1963-1964,7,12,0,496,88,41.33,0,4,0
GE Bond,SA,1938-1938,1,1,0,0,0,0.00,0,0,1
SE Bond,NZ,2001-2009,18,20,7,168,41*,12.92,0,0,1
NE Bonner,WI,2021-2022,15,25,4,803,123,38.23,2,3,4
GJ Bonnor,AUS,1880-1888,17,30,0,512,128,17.06,1,2,5
SL Boock,NZ,1978-1989,30,41,8,207,37,6.27,0,0,10
DC Boon,AUS,1984-1996,107,190,20,7422,200,43.65,21,32,16
BC Booth,AUS,1961-1966,29,48,6,1773,169,42.21,5,10,5
MW Booth,ENG,1913-1914,2,2,0,46,32,23.00,0,0,0
RS Bopara,ENG,2007-2012,13,19,1,575,143,31.94,3,0,5
CG Borde,IND,1958-1969,55,97,11,3061,177*,35.59,5,18,13
AR Border,AUS,1978-1994,156,265,44,11174,205,50.56,27,63,11
SG Borthwick,ENG,2014-2014,1,2,0,5,4,2.50,0,0,0
BJT Bosanquet,ENG,1903-1905,7,14,3,147,27,13.36,0,0,0
T Bosch,SA,1992-1992,1,2,2,5,5*,-,0,0,0
J Botha,SA,2006-2010,5,6,2,83,25,20.75,0,0,0
IT Botham,ENG,1977-1992,102,161,6,5200,208,33.54,14,22,14
JT Botten,SA,1965-1965,3,6,0,65,33,10.83,0,0,2
MV Boucher,ICC/SA,1997-2012,147,206,24,5515,125,30.30,5,35,17
TA Boult,NZ,2011-2022,78,94,46,759,52*,15.81,0,1,13
MP Bowden,ENG,1889-1889,2,2,0,25,25,12.50,0,0,1
WE Bowes,ENG,1932-1946,15,11,5,28,10*,4.66,0,0,2
EH Bowley,ENG,1929-1930,5,7,0,252,109,36.00,1,0,0
KD Boyce,WI,1971-1976,21,30,3,657,95*,24.33,0,4,4
G Boycott,ENG,1964-1982,108,193,23,8114,246*,47.72,22,42,10
HF Boyle,AUS,1879-1884,12,16,4,153,36*,12.75,0,0,2
BP Bracewell,NZ,1978-1985,6,12,2,24,8,2.40,0,0,5
DAJ Bracewell,NZ,2011-2023,28,45,4,568,47,13.85,0,0,11
JG Bracewell,NZ,1980-1990,41,60,11,1001,110,20.42,1,4,13
MG Bracewell,NZ,2022-2023,8,14,1,259,74*,19.92,0,1,1
JR Bracey,ENG,2021-2021,2,3,0,8,8,2.66,0,0,2
NW Bracken,AUS,2003-2005,5,6,2,70,37,17.50,0,0,0
GE Bradburn,NZ,1990-2001,7,10,2,105,30*,13.12,0,0,1
WP Bradburn,NZ,1964-1964,2,4,0,62,32,15.50,0,0,0
WM Bradley,ENG,1899-1899,2,2,1,23,23*,23.00,0,0,1
DG Bradman,AUS,1928-1948,52,80,10,6996,334,99.94,29,13,7
IDR Bradshaw,WI,2006-2006,5,8,1,96,33,13.71,0,0,1
DH Brain,ZIM,1992-1995,9,13,2,115,28,10.45,0,0,4
EA Brandes,ZIM,1992-1999,10,15,3,121,39,10.08,0,0,2
WH Brann,SA,1922-1923,3,5,0,71,50,14.20,0,1,1
CR Brathwaite,WI,2015-2016,3,5,1,181,69,45.25,0,3,1
KC Brathwaite,WI,2011-2023,85,163,10,5349,212,34.96,12,28,16
LC Braund,ENG,1901-1908,23,41,3,987,104,25.97,3,2,7
DJ Bravo,WI,2004-2010,40,71,1,2200,113,31.42,3,13,6
DM Bravo,WI,2010-2020,56,102,5,3538,218,36.47,8,17,5
JM Brearley,ENG,1976-1981,39,66,3,1442,91,22.88,0,9,6
W Brearley,ENG,1905-1912,4,5,2,21,11*,7.00,0,0,2
GR Breese,WI,2002-2002,1,2,0,5,5,2.50,0,0,1
DV Brennan,ENG,1951-1951,2,2,0,16,16,8.00,0,0,1
GB Brent,ZIM,1999-2001,4,6,0,35,25,5.83,0,0,3
TT Bresnan,ENG,2009-2013,23,26,4,575,91,26.13,0,3,3
GA Briant,ZIM,1993-1993,1,2,0,17,16,8.50,0,0,0
J Briggs,ENG,1884-1899,33,50,5,815,121,18.11,1,2,10
